,Code NAF,Intitule NAF
1286,6619B,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite, n.c.a."
1287,98,Activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre
1288,3291Z,Fabrication d’articles de brosserie
1289,383,Récupération
1290,281,Fabrication de machines d'usage général
1291,843,Sécurité sociale obligatoire
1292,123,Culture d'agrumes
1293,3522Z,Distribution de combustibles gazeux par conduites
1294,4642Z,Commerce de gros (commerce interentreprises) d'habillement et de chaussures
1295,4624Z,Commerce de gros (commerce interentreprises) de cuirs et peaux
1296,85,Enseignement
1297,2060,Fabrication de fibres artificielles ou synthétiques
1298,1083Z,Transformation du thé et du café
1299,4723,"Commerce de détail de poissons, crustacés et mollusques en magasin spécialisé"
1300,465,Commerce de gros d'équipements de l'information et de la communication
1301,8553Z,Enseignement de la conduite
1302,1399,Fabrication d'autres textiles n.c.a.
1303,56,Restauration
1304,7490A,Activité des économistes de la construction
1305,8299,Autres activités de soutien aux entreprises n.c.a.
1306,1721A,Fabrication de carton ondulé
1307,2341,Fabrication d'articles céramiques à usage domestique ou ornemental
1308,2444Z,Métallurgie du cuivre
1309,4652,Commerce de gros de composants et d'équipements électroniques et de télécommunication
1310,4221Z,Construction de réseaux pour fluides
1311,1814Z,Reliure et activités connexes
1312,2529Z,"Fabrication d'autres réservoirs, citernes et conteneurs métalliques"
1313,353,Production et distribution de vapeur et d'air conditionné
1314,2841Z,Fabrication de machines-outils pour le travail des métaux
1315,7990Z,Autres services de réservation et activités connexes
1316,0164Z,Traitement des semences
1317,2221Z,"Fabrication de plaques, feuilles, tubes et profilés en matières plastiques"
1318,2712Z,Fabrication de matériel de distribution et de commande électrique
1319,172,Fabrication d'articles en papier ou en carton
1320,2391Z,Fabrication de produits abrasifs
1321,1039A,Autre transformation et conservation de légumes
1322,0321Z,Aquaculture en mer
1323,3109A,Fabrication de sièges d'ameublement d'intérieur
1324,1910,Cokéfaction
1325,8425,Services du feu et de secours
1326,2452Z,Fonderie d'acier
1327,1395Z,"Fabrication de non-tissés, sauf habillement"
1328,1392Z,"Fabrication d'articles textiles, sauf habillement"
1329,421,Construction de routes et de voies ferrées
1330,4722,Commerce de détail de viandes et de produits à base de viande en magasin spécialisé
1331,6010Z,Édition et diffusion de programmes radio
1332,1722Z,Fabrication d'articles en papier à usage sanitaire ou domestique
1333,8129A,"Désinfection, désinsectisation, dératisation"
1334,4110A,Promotion immobilière de logements
1335,129,Autres cultures permanentes
1336,3512Z,Transport d'électricité
1337,266,"Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques"
1338,0128Z,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques"
1339,1083,Transformation du thé et du café
1340,2410Z,Sidérurgie
1341,4334Z,Travaux de peinture et vitrerie
1342,1391Z,Fabrication d'étoffes à mailles
1343,2740Z,Fabrication d'appareils d'éclairage électrique
1344,7711A,Location de courte durée de voitures et de véhicules automobiles légers
1345,7722Z,Location de vidéocassettes et disques vidéo
1346,9103Z,Gestion des sites et monuments historiques et des attractions touristiques similaires
1347,453,Commerce d'équipements automobiles
1348,9004Z,Gestion de salles de spectacles
1349,9603Z,Services funéraires
1350,4643Z,Commerce de gros (commerce interentreprises) d'appareils électroménagers
1351,4339Z,Autres travaux de finition
1352,741,Activités spécialisées de design
1353,0129Z,Autres cultures permanentes
1354,9820,Activités indifférenciées des ménages en tant que producteurs de services pour usage propre
1355,4332B,Travaux de menuiserie métallique et serrurerie
1356,4671Z,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes
1357,234,Fabrication d'autres produits en céramique et en porcelaine
1358,72,Extraction de minerais de métaux non ferreux
1359,6920,Activités comptables
1360,802,Activités liées aux systèmes de sécurité
1361,1724,Fabrication de papiers peints
1362,4391,Travaux de couverture
1363,4754,Commerce de détail d'appareils électroménagers en magasin spécialisé
1364,06,Extraction d'hydrocarbures
1365,133,Ennoblissement textile
1366,451,Commerce de véhicules automobiles
1367,99,Activités des organisations et organismes extraterritoriaux
1368,1413,Fabrication de vêtements de dessus
1369,7211,Recherche-développement en biotechnologie
1370,4910Z,Transport ferroviaire interurbain de voyageurs
1371,2341Z,Fabrication d'articles céramiques à usage domestique ou ornemental
1372,2441Z,Production de métaux précieux
1373,2530Z,"Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central"
1374,8424,Activités d’ordre public et de sécurité
1375,8730A,Hébergement social pour personnes âgées
1376,0116Z,Culture de plantes à fibres
1377,2452,Fonderie d'acier
1378,5210B,Entreposage et stockage non frigorifique
1379,781,Activités des agences de placement de main-d'œuvre
1380,4519Z,Commerce d'autres véhicules automobiles
1381,312,Pêche en eau douce
1382,1622,Fabrication de parquets assemblés
1383,6399,Autres services d'information n.c.a.
1384,0122Z,Culture de fruits tropicaux et subtropicaux
1385,11,Fabrication de boissons
1386,1101,Production de boissons alcooliques distillées
1387,1092,Fabrication d'aliments pour animaux de compagnie
1388,2825,Fabrication d'équipements aérauliques et frigorifiques industriels
1389,6619A,Supports juridiques de gestion de patrimoine mobilier
1390,4663Z,"Commerce de gros (commerce interentreprises) de machines pour l'extraction, la construction et le génie civil"
1391,4634Z,Commerce de gros (commerce interentreprises) de boissons
1392,30,Fabrication d'autres matériels de transport
1393,2822Z,Fabrication de matériel de levage et de manutention
1394,7911Z,Activités des agences de voyage
1395,9001,Arts du spectacle vivant
1396,1439,Fabrication d'autres articles à mailles
1397,491,Transport ferroviaire interurbain de voyageurs
1398,0170Z,"Chasse, piégeage et services annexes"
1399,7220Z,Recherche-développement en sciences humaines et sociales
1400,6420Z,Activités des sociétés holding
1401,9529,Réparation d'autres biens personnels et domestiques
1402,6202B,Tierce maintenance de systèmes et d’applications informatiques
1403,2399Z,Fabrication d'autres produits minéraux non métalliques n.c.a.
1404,8110Z,Activités combinées de soutien lié aux bâtiments
1405,22,Fabrication de produits en caoutchouc et en plastique
1406,3012,Construction de bateaux de plaisance
1407,72,Recherche-développement scientifique
1408,1394Z,"Fabrication de ficelles, cordes et filets"
1409,2790,Fabrication d'autres matériels électriques
1410,6190Z,Autres activités de télécommunication
1411,721,Recherche-développement en sciences physiques et naturelles
1412,1051D,Fabrication d'autres produits laitiers
1413,1624,Fabrication d'emballages en bois
1414,2611,Fabrication de composants électroniques
1415,829,Activités de soutien aux entreprises n.c.a.
1416,6820A,Location de logements
1417,941,"Activités des organisations économiques, patronales et professionnelles"
1418,7311,Activités des agences de publicité
1419,1032Z,Préparation de jus de fruits et légumes
1420,6203Z,Gestion d'installations informatiques
1421,551,Hôtels et hébergement similaire
1422,8730,Hébergement social pour personnes âgées ou handicapées physiques
1423,8710B,Hébergement médicalisé pour enfants handicapés
1424,9602B,Soins de beauté
1425,382,Traitement et élimination des déchets
1426,7711B,Location de longue durée de voitures et de véhicules automobiles légers
1427,2219Z,Fabrication d'autres articles en caoutchouc
1428,2540,Fabrication d'armes et de munitions
1429,4939B,Autres transports routiers de voyageurs
1430,1330Z,Ennoblissement textile
1431,4642,Commerce de gros d'habillement et de chaussures
1432,3250B,Fabrication de lunettes
1433,854,Enseignement supérieur et post-secondaire non supérieur
1434,1621Z,Fabrication de placage et de panneaux de bois
1435,4782Z,"Commerce de détail de textiles, d'habillement et de chaussures sur éventaires et marchés"
1436,2221,"Fabrication de plaques, feuilles, tubes et profilés en matières plastiques"
1437,2311,Fabrication de verre plat
1438,4651Z,"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels"
1439,5911A,Production de films et de programmes pour la télévision
1440,4613Z,Intermédiaires du commerce en bois et matériaux de construction
1441,4639B,Commerce de gros (commerce interentreprises) alimentaire non spécialisé
1442,4299,Construction d'autres ouvrages de génie civil n.c.a.
1443,1041,Fabrication d'huiles et graisses
1444,2343,Fabrication d'isolateurs et pièces isolantes en céramique
1445,869,Autres activités pour la santé humaine
1446,163,Traitement primaire des récoltes
1447,4931Z,Transports urbains et suburbains de voyageurs
1448,1413Z,Fabrication de vêtements de dessus
1449,855,Autres activités d'enseignement
1450,9499Z,Autres organisations fonctionnant par adhésion volontaire
1451,2825Z,Fabrication d'équipements aérauliques et frigorifiques industriels
1452,2342Z,Fabrication d'appareils sanitaires en céramique
1453,2550A,"Forge, estampage, matriçage ; métallurgie des poudres"
1454,68,Activités immobilières
1455,304,Construction de véhicules militaires de combat
1456,21,Sylviculture et autres activités forestières
1457,9810Z,Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre
1458,2454Z,Fonderie d'autres métaux non ferreux
1459,932,Activités récréatives et de loisirs
1460,0899Z,Autres activités extractives n.c.a.
1461,1722,Fabrication d'articles en papier à usage sanitaire ou domestique
1462,2824Z,Fabrication d'outillage portatif à moteur incorporé
1463,6622Z,Activités des agents et courtiers d'assurances
1464,511,Transports aériens de passagers
1465,51,Extraction de houille
1466,3213Z,Fabrication d’articles de bijouterie fantaisie et articles similaires
1467,1071D,Pâtisserie
1468,3020Z,Construction de locomotives et d'autre matériel ferroviaire roulant
1469,13,Fabrication de textiles
1470,4212,Construction de voies ferrées de surface et souterraines
1471,9820Z,Activités indifférenciées des ménages en tant que producteurs de services pour usage propre
1472,1082,"Fabrication de cacao, chocolat et de produits de confiserie"
1473,105,Fabrication de produits laitiers
1474,4120A,Construction de maisons individuelles
1475,5610B,Cafétérias et autres libres-services
1476,1392,"Fabrication d'articles textiles, sauf habillement"
1477,4391B,Travaux de couverture par éléments
1478,113,"Culture de légumes, de melons, de racines et de tubercules"
1479,9601A,Blanchisserie-teinturerie de gros
1480,5530,Terrains de camping et parcs pour caravanes ou véhicules de loisirs
1481,182,Reproduction d'enregistrements
1482,2521Z,Fabrication de radiateurs et de chaudières pour le chauffage central
1483,0127Z,Culture de plantes à boissons
1484,5920Z,Enregistrement sonore et édition musicale
1485,4729,Autres commerces de détail alimentaires en magasin spécialisé
1486,683,Activités immobilières pour compte de tiers
1487,9700,Activités des ménages en tant qu'employeurs de personnel domestique
1488,205,Fabrication d'autres produits chimiques
1489,750,Activités vétérinaires
1490,2349Z,Fabrication d'autres produits céramiques
1491,2349,Fabrication d'autres produits céramiques
1492,2573A,Fabrication de moules et modèles
1493,7820,Activités des agences de travail temporaire
1494,8130Z,Services d'aménagement paysager
1495,4652Z,Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommunication
1496,4647Z,"Commerce de gros (commerce interentreprises) de meubles, de tapis et d'appareils d'éclairage"
1497,5911,"Production de films cinématographiques, de vidéo et de programmes de télévision"
1498,7021,Conseil en relations publiques et communication
1499,3312Z,Réparation de machines et équipements mécaniques
1500,2830Z,Fabrication de machines agricoles et forestières
1501,7740,"Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright"
1502,2051,Fabrication de produits explosifs
1503,1431,Fabrication d'articles chaussants à mailles
1504,9525,Réparation d'articles d'horlogerie et de bijouterie
1505,71,Extraction de minerais de fer
1506,3211,Frappe de monnaie
1507,120,Fabrication de produits à base de tabac
1508,4519,Commerce d'autres véhicules automobiles
1509,5110Z,Transports aériens de passagers
1510,3811Z,Collecte des déchets non dangereux
1511,4675Z,Commerce de gros (commerce interentreprises) de produits chimiques
1512,2443,"Métallurgie du plomb, du zinc ou de l'étain"
1513,791,Activités des agences de voyage et voyagistes
1514,2829B,Fabrication d'autres machines d'usage général
1515,467,Autres commerces de gros spécialisés
1516,2640Z,Fabrication de produits électroniques grand public
1517,2821Z,Fabrication de fours et brûleurs
1518,3313,Réparation de matériels électroniques et optiques
1519,6511,Assurance vie
1520,9412,Activités des organisations professionnelles
1521,2811,"Fabrication de moteurs et turbines, à l'exception des moteurs d’avions et de véhicules"
1522,4942Z,Services de déménagement
1523,8413,Administration publique (tutelle) des activités économiques
1524,17,"Chasse, piégeage et services annexes"
1525,661,"Activités auxiliaires de services financiers, hors assurance et caisses de retraite"
1526,2352,Fabrication de chaux et plâtre
1527,691,Activités juridiques
1528,93,"Activités sportives, récréatives et de loisirs"
1529,1107B,Production de boissons rafraîchissantes
1530,2562,Usinage
1531,4723Z,"Commerce de détail de poissons, crustacés et mollusques en magasin spécialisé"
1532,4532,Commerce de détail d'équipements automobiles
1533,4649,Commerce de gros d'autres biens domestiques
1534,1721B,Fabrication de cartonnages
1535,8412,"Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale"
1536,4311Z,Travaux de démolition
1537,4751Z,Commerce de détail de textiles en magasin spécialisé
1538,474,Commerce de détail d'équipements de l'information et de la communication en magasin spécialisé
1539,5223Z,Services auxiliaires des transports aériens
1540,4613,Intermédiaires du commerce en bois et matériaux de construction
1541,8559A,Formation continue d'adultes
1542,4761Z,Commerce de détail de livres en magasin spécialisé
1543,5630Z,Débits de boissons
1544,6202,Conseil informatique
1545,254,Fabrication d'armes et de munitions
1546,4520,Entretien et réparation de véhicules automobiles
1547,253,"Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central"
1548,252,"Fabrication de réservoirs, citernes et conteneurs métalliques"
1549,6630Z,Gestion de fonds
1550,124,Culture de fruits à pépins et à noyau
1551,59,"Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale"
1552,3821,Traitement et élimination des déchets non dangereux
1553,4777Z,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé
1554,9604,Entretien corporel
1555,2830,Fabrication de machines agricoles et forestières
1556,477,Autres commerces de détail en magasin spécialisé
1557,4399C,Travaux de maçonnerie générale et gros œuvre de bâtiment
1558,3030,Construction aéronautique et spatiale
1559,1073Z,Fabrication de pâtes alimentaires
1560,143,Élevage de chevaux et d'autres équidés
1561,14,Production animale
1562,2312,Façonnage et transformation du verre plat
1563,3511,Production d'électricité
1564,3091Z,Fabrication de motocycles
1565,6611Z,Administration de marchés financiers
1566,5829A,Édition de logiciels système et de réseau
1567,454,Commerce et réparation de motocycles
1568,4672,Commerce de gros de minerais et métaux
1569,291,Construction de véhicules automobiles
1570,73,Publicité et études de marché
1571,2219,Fabrication d'autres articles en caoutchouc
1572,520,Extraction de lignite
1573,62,"Programmation, conseil et autres activités informatiques"
1574,1073,Fabrication de pâtes alimentaires
1575,370,Collecte et traitement des eaux usées
1576,2591Z,Fabrication de fûts et emballages métalliques similaires
1577,871,Hébergement médicalisé
1578,990,Activités des organisations et organismes extraterritoriaux
1579,2020,Fabrication de pesticides et d’autres produits agrochimiques
1580,2630,Fabrication d'équipements de communication
1581,4291,Construction d'ouvrages maritimes et fluviaux
1582,8552,Enseignement culturel
1583,2361Z,Fabrication d'éléments en béton pour la construction
1584,2314Z,Fabrication de fibres de verre
1585,325,Fabrication d'instruments et de fournitures à usage médical et dentaire
1586,4399D,Autres travaux spécialisés de construction
1587,682,Location et exploitation de biens immobiliers propres ou loués
1588,6201Z,Programmation informatique
1589,31,Pêche
1590,3319,Réparation d'autres équipements
1591,2015,Fabrication de produits azotés et d'engrais
1592,02,Sylviculture et exploitation forestière
1593,4632A,Commerce de gros (commerce interentreprises) de viandes de boucherie
1594,494,Transports routiers de fret et services de déménagement
1595,1411,Fabrication de vêtements en cuir
1596,9522,Réparation d'appareils électroménagers et d'équipements pour la maison et le jardin
1597,891,Extraction des minéraux chimiques et d'engrais minéraux
1598,4761,Commerce de détail de livres en magasin spécialisé
1599,4941,Transports routiers de fret
1600,4950,Transports par conduites
1601,2059Z,Fabrication d'autres produits chimiques n.c.a.
1602,237,"Taille, façonnage et finissage de pierres"
1603,3250,Fabrication d'instruments et de fournitures à usage médical et dentaire
1604,2211Z,Fabrication et rechapage de pneumatiques
1605,322,Fabrication d'instruments de musique
1606,7111Z,Activités d'architecture
1607,240,Services de soutien à l'exploitation forestière
1608,8430A,Activités générales de sécurité sociale
1609,5812Z,Édition de répertoires et de fichiers d'adresses
1610,0990Z,Activités de soutien aux autres industries extractives
1611,07,Extraction de minerais métalliques
1612,275,Fabrication d'appareils ménagers
1613,4648,Commerce de gros d'articles d'horlogerie et de bijouterie
1614,8422Z,Défense
1615,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé
1616,469,Commerce de gros non spécialisé
1617,7739Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a."
1618,4110C,Promotion immobilière d'autres bâtiments
1619,6530,Caisses de retraite
1620,5040Z,Transports fluviaux de fret
1621,5040,Transports fluviaux de fret
1622,1813,Activités de pré-presse
1623,9529Z,Réparation d'autres biens personnels et domestiques
1624,5320,Autres activités de poste et de courrier
1625,5814,Édition de revues et périodiques
1626,8129,Autres activités de nettoyage
1627,4331,Travaux de plâtrerie
1628,4638A,"Commerce de gros (commerce interentreprises) de poissons, crustacés et mollusques"
1629,8121,Nettoyage courant des bâtiments
1630,9524Z,Réparation de meubles et d'équipements du foyer
1631,9604Z,Entretien corporel
1632,2332Z,"Fabrication de briques, tuiles et produits de construction, en terre cuite"
1633,1920Z,Raffinage du pétrole
1634,8552Z,Enseignement culturel
1635,4722Z,Commerce de détail de viandes et de produits à base de viande en magasin spécialisé
1636,95,Réparation d'ordinateurs et de biens personnels et domestiques
1637,4612,"Intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques"
1638,4532Z,Commerce de détail d'équipements automobiles
1639,771,Location et location-bail de véhicules automobiles
1640,9102,Gestion des musées
1641,0126Z,Culture de fruits oléagineux
1642,8532Z,Enseignement secondaire technique ou professionnel
1643,9312Z,Activités de clubs de sports
1644,1041B,Fabrication d'huiles et graisses raffinées
1645,0115Z,Culture du tabac
1646,6820,Location et exploitation de biens immobiliers propres ou loués
1647,244,Production de métaux précieux et d'autres métaux non ferreux
1648,2910,Construction de véhicules automobiles
1649,7312Z,Régie publicitaire de médias
1650,90,"Activités créatives, artistiques et de spectacle"
1651,4751,Commerce de détail de textiles en magasin spécialisé
1652,4616Z,"Intermédiaires du commerce en textiles, habillement, fourrures, chaussures et articles en cuir"
1653,2711,"Fabrication de moteurs, génératrices et transformateurs électriques"
1654,4311,Travaux de démolition
1655,8424Z,Activités d’ordre public et de sécurité
1656,1051C,Fabrication de fromage
1657,2369,"Fabrication d'autres ouvrages en béton, en ciment ou en plâtre"
1658,271,"Fabrication de moteurs, génératrices et transformateurs électriques et de matériel de distribution et de commande électrique"
1659,2899,Fabrication d'autres machines d'usage spécifique n.c.a.
1660,3514Z,Commerce d'électricité
1661,649,"Autres activités des services financiers, hors assurance et caisses de retraite"
1662,0620Z,Extraction de gaz naturel
1663,3523,Commerce de combustibles gazeux par conduites
1664,4211Z,Construction de routes et autoroutes
1665,4120B,Construction d'autres bâtiments
1666,1071B,Cuisson de produits de boulangerie
1667,181,Imprimerie et services annexes
1668,4329,Autres travaux d'installation
1669,4332C,Agencement de lieux de vente
1670,7729,Location et location-bail d'autres biens personnels et domestiques
1671,6411,Activités de banque centrale
1672,1103,Fabrication de cidre et de vins de fruits
1673,2311Z,Fabrication de verre plat
1674,3040Z,Construction de véhicules militaires de combat
1675,8531Z,Enseignement secondaire général
1676,132,Tissage
1677,231,Fabrication de verre et d'articles en verre
1678,6512,Autres assurances
1679,4671,Commerce de gros de combustibles et de produits annexes
1680,2651B,Fabrication d'instrumentation scientifique et technique
1681,2051Z,Fabrication de produits explosifs
1682,2399,Fabrication d'autres produits minéraux non métalliques n.c.a.
1683,0144Z,Élevage de chameaux et d'autres camélidés
1684,1624Z,Fabrication d'emballages en bois
1685,4312A,Travaux de terrassement courants et travaux préparatoires
1686,8430C,Distribution sociale de revenus
1687,2041Z,"Fabrication de savons, détergents et produits d'entretien"
1688,1013,Préparation de produits à base de viande
1689,9003B,Autre création artistique
1690,4637Z,"Commerce de gros (commerce interentreprises) de café, thé, cacao et épices"
1691,641,Intermédiation monétaire
1692,471,Commerce de détail en magasin non spécialisé
1693,8220,Activités de centres d'appels
1694,8810B,Accueil ou accompagnement sans hébergement d’adultes handicapés ou de  personnes âgées
1695,4611,"Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et produits semi-finis"
1696,4673,"Commerce de gros de bois, de matériaux de construction et d'appareils sanitaires"
1697,9420,Activités des syndicats de salariés
1698,701,Activités des sièges sociaux
1699,24,Métallurgie
1700,8430B,Gestion des retraites complémentaires
1701,2343Z,Fabrication d'isolateurs et pièces isolantes en céramique
1702,255,"Forge, emboutissage, estampage ; métallurgie des poudres"
1703,601,Édition et diffusion de programmes radio
1704,6130,Télécommunications par satellite
1705,7500,Activités vétérinaires
1706,8551,Enseignement de disciplines sportives et d'activités de loisirs
